斑尾漠百灵,Bar-tailed Lark,Ammomanes cinctura,小型（14厘米）精致且羽色浅淡的百灵;;整体呈独特的肉桂沙色，胸部有模糊的纵纹;;⚑飞行时，尾端有明显的黑色横带;;⚑极似漠百灵，但喙小巧且颜色更“甜美”;;栖息于沙质干旱地带;;鸣唱是高音调的“See-suuu，see-suuu”，如同嘎吱作响的秋千声，鸣叫为轻柔的“chup”声;
漠百灵,Desert Lark,Ammomanes deserti,干旱地区的中型（15-17厘米）百灵;;整体呈浅沙色，喙呈强烈的淡黄色，胸部有淡淡的条纹;;⚑似斑尾漠百灵，但喙更大，尾端的深色更宽;;在地面上行走和奔跑，寻找小型节肢动物和植物材料；见于各种沙漠栖息地，包括沙质平原和岩石斜坡;;鸣叫为轻柔的“chup”；鸣唱由重复的长笛音构成;
棕尾漠百灵,Rufous-tailed Lark,Ammomanes phoenicura,16厘米;,印度特有
黑耳雀百灵,Black-eared Sparrow-Lark,Eremopterix australis,小型（12-13厘米）紧凑，形似雀类的群居百灵;;雌雄羽色不同：特征明显的雄鸟大多为黑色，包括翼下，上体布满栗色斑点；雌鸟上体呈红棕色，下体有条纹;;⚑当黑色的雄鸟展开宽阔的翅飞起，并像蝴蝶一样缓慢扇动时十分显眼;;⚑飞行时，雌鸟可通过全黑的翼下及腹部无黑色斑块，与其他雀百灵雌鸟区分;;具游牧习性，常于大雨过后大量涌现；中小规模的鸟群（常与灰背雀百灵混群）会出现在卡鲁地区和卡拉哈里的长满草的灌丛地，在地面四处走动觅食种子和昆虫;,南非近特有
灰顶雀百灵,Ashy-crowned Sparrow-Lark,Eremopterix griseus,小型（11-12厘米）且结实的鸟类;;喙粗壮，似雀类的喙;;雄鸟头部灰色，与黑色眼纹形成对比，颈部、喉部及下体为黑色;;雌鸟呈淡褐色，头部、背部及下体具不明显的条纹;;⚑似黑顶雀百灵，但雄鸟具灰色的头部，雌鸟则难以辨别;;栖息于干燥的灌木丛、田野及多岩石的地区;;鸣唱常于炫耀飞行时发出，由单调的哨音夹杂着嗡嗡声组成;
马岛雀百灵,Madagascar Lark,Eremopterix hova,13厘米;,马达加斯加特有
白颊雀百灵,Fischer's Sparrow-Lark,Eremopterix leucopareia,11-12厘米;
栗背雀百灵,Chestnut-backed Sparrow-Lark,Eremopterix leucotis,典型的雀百灵（12-14厘米）;;雄鸟色彩鲜艳且斑纹醒目，雌鸟则较为暗淡;;雄鸟脸部有多变的黑色和栗色斑纹，环绕着明亮的白色脸颊，白色脸颊向下延续为一条纵纹;;雌鸟羽色朴素，但有赤褐色眉纹和腹部的黑色斑;;见于干燥开阔的生境，包括沙漠、草原和稀树草原，通常成群活动;;飞行时经常发出的叫声是简单的啁啾声;
黑顶雀百灵,Black-crowned Sparrow-Lark,Eremopterix nigriceps,干旱地区小型（10-11厘米）似雀的百灵;;雄鸟下体黑色，白色的脸颊和黑色头顶引人注目;;雌鸟整体灰褐色，具淡条纹； 最好根据粗短的喙来识别;;⚑飞行时，翼下深色，尾羽两侧黑色;;栖息于灌木稀疏的沙漠平原;;鸣唱是由清晰、尖锐的重复哨音组成的短句；叫声为短促的“Zzz”或“Zik zik……”;
栗头雀百灵,Chestnut-headed Sparrow-Lark,Eremopterix signatus,11-12厘米;
灰背雀百灵,Grey-backed Sparrow-Lark,Eremopterix verticalis,小型（12-13厘米）紧凑，形似雀类的群居百灵;;⚑雌雄羽色不同：雄鸟背部和翅膀呈灰棕色，带有扇形图案，头部黑色，醒目的白色耳斑延伸至颈部后侧；雌鸟有条纹，因地理分布不同而有所差异，但始终有黑色腹部斑块，且往往比其他雀百灵雌鸟颜色更浅;;既为留鸟又具游牧习性，不过其迁徙规律尚不明晰；20到100只的鸟群（常与其他雀百灵或斯氏沙百灵混群）会出现在半干旱灌丛地和休耕地的草丛中，在光秃秃的地方四处走动，觅食种子和昆虫;
黄褐歌百灵,Fawn-colored Lark,Calendulauda africanoides,14-16厘米;
红背歌百灵,Karoo Lark,Calendulauda albescens,中型（17厘米）粗壮的百灵;;具无冠羽的圆头和纤细、略下弯的喙，面部图案醒目，下体具浓密的条纹;;⚑颜色从暗褐色（下图）到锈色（上图）不等，通常与该地区的土壤颜色相匹配;;⚑似巴氏歌百灵和红歌百灵，但后两者胁上缺少条纹;;分布于半干旱的卡鲁地区、干燥的丛林和沿海灌木地，喜在沙质地区挖掘昆虫;;雄鸟会在灌木中鸣唱，在春季会进行持续的空中表演，高度约为10到30米，翅拍深，振翅，腿下垂;;鸣叫是一系列尖锐的重复的“tiiik”音符，鸣唱是独特的简短颤音，常在短时间间隔内重复;,南非特有
红歌百灵,Red Lark,Calendulauda burra,中型（17-19厘米）粗壮的百灵;;具无冠羽的圆头和短而强壮的喙，面部图案醒目，胸前具粗重的条纹;;⚑颜色通常与该地区的土壤颜色相匹配，从红色沙丘地区的砖红色（上图）到页岩和黏土平原区域的锈褐色（下图）不等;;⚑似红背歌百灵，但后者条纹更多，鸣唱更高音、更快速;;分布于半干旱的卡鲁地区，喜沙丘和沙质地区;;雄鸟在灌木中鸣唱，在春季会进行持续的空中表演，高度约为10到15米，翅拍深，尾呈扇形展开;;鸣叫是一系列尖锐的重复的“triiiiik”音符，鸣唱是独特的简短颤音，常在短时间间隔内重复;,南非特有
沙丘歌百灵,Dune Lark,Calendulauda erythrochlamys,中型（17-18厘米）百灵;;具无冠羽的圆头和略下弯的喙;;⚑存在地理差异：北部种群（上图）有朴素的面部图案和局限于胸部的淡色条纹；南部种群（下图）有醒目的面部图案，及强烈的胸部条纹;;⚑上体的颜色变化很大，通常从淡沙粉色到淡黄褐色，通常与该地区的土壤颜色相匹配;;⚑略似红背歌百灵，但后者条纹更为醒目，且延伸到胁腹;;成对见于纳米布沙漠的沙丘及半干旱的卡鲁和沿海灌木地上;;雄鸟会在春季会在离地面10-30米的空中进行炫耀飞行，翅拍深、振翅，腿下垂;;鸣唱是一连串独特的沙哑、刺耳的开场短音，然后是哨音和颤音;
吉氏歌百灵,Gillett's Lark,Calendulauda gilletti,16-17厘米;,埃塞尔比亚近特有
粉胸歌百灵,Pink-breasted Lark,Calendulauda poecilosterna,15-16厘米;
锈色歌百灵,Rusty Bush Lark,Calendulauda rufa,中型（13-15厘米）百灵;;具淡褐色窄眉纹;;喙双色：下喙淡色，上喙深色;;下体呈淡色，胸部有模糊的棕褐色条纹;;⚑存在地理差异，有背部有条纹的个体（下图）及无条纹的个体（上图），但主要呈锈红色;;⚑外侧尾羽呈淡褐色而非白色，有别于同分布内的大多数小型百灵;;栖息在有岩石的开阔干旱草原中;;声音未知;
萨博塔歌百灵,Sabota Lark,Calendulauda sabota,中型（14-15厘米）带有明显条纹的百灵;;具浓厚的白色眉纹，醒目的脸颊斑块，和明显的髭纹;;胸部浓密的条纹与纯白的腹部和喉部形成鲜明对比;;⚑南非北开普省和纳米比亚的西部亚种（上图）比东部亚种（下图）具更重、更长的喙;;分布于些鸟在卡鲁灌木地和干旱的热带草原中，喜草地地区;;在春夏季，雄性会栖息在显眼的地方，发出富有旋律的、多变的鸣唱，其中经常包括仿声;
阿氏歌百灵,Archer's Lark,Heteromirafra archeri,独特的百灵（15-16厘米）;;⚑形状奇怪：具扁平的三角形头部，粗壮的喙，长长的脖子，以及相对较短的尾;;背部有漂亮的扇形图案，胸部有浓密的条纹;;⚑似棕短趾百灵，但可通过其奇怪的形状和背部的扇形图案区分;;⚑形状上似垂耳歌百灵，但色调较淡，尤其在下体;;通常单独出现于草地生境，沿地面奔跑;;飞行鸣唱是不同鸣叫类型的混合，以长时间的混乱的形式重复;,埃塞尔比亚特有
拉氏歌百灵,Rudd's Lark,Heteromirafra ruddi,体型矮壮的小型（14-15厘米）百灵;;站姿直立，头部偏大，尾羽窄短;;⚑背部布满黄褐色、黑色与白色的闪斑；头部斑纹鲜明：有显眼的眉纹、眼圈，以及具鉴别性的浅色顶冠纹（此特征是区分该物种与近缘种的关键）;;喉与腹部羽色纯净无斑纹，覆有棕黄色调的胸部则分布着疏落的纵纹;;通常成对活动，分布极为局限，仅见于海拔1600-2000米、放牧频繁的矮草地中;;雄鸟有长时间的空中炫耀行为：迎风振翅升空，之后悬停于空中，时长可达40分钟;;留意其在地面或炫耀飞行时发出的独特鸣唱声：通常是3-5个（最多8个）音节的短促嗡嗡乐句，间隔几秒重复数次后，会切换为新的变调，例如“Bee-dzip-pliieeep-DZREEE”“Dr-rik-plip-SEEE”或“Krieek-kreee-OEEE”;,南非特有
斯里兰卡歌百灵,Jerdon's Bush Lark,Plocealauda affinis,13.5-15厘米;
棕翅歌百灵,Bengal Bush Lark,Plocealauda assamica,中型（16厘米）矮壮的褐色歌百灵;;尾相对较短;;注意其粗壮的喙，上缘略下弯；还有具条纹的背部、有斑点的胸部、浅黄色下体以及翅上的红褐色翼斑;;⚑可能会与分布区域重叠的其他歌百灵混淆；但其平均颜色更深，上下体之间的对比度较小;;栖息于开阔的平原和田野，有时这些地方会有零星的灌木和树丛;;在飞行中、地面上或栖木上发出嗡嗡的重复鸣唱;
东洋歌百灵,Indochinese Bush Lark,Plocealauda erythrocephala,短尾百灵（15厘米）;;背部具褐色纵纹，胸部有墨黑色纵纹;;⚑整体羽色极似其他多种百灵，但具更短的尾;;栖息于田野、草地等开阔干旱地带，这些区域中零星分布着小树和灌丛；与云雀不同，该鸟常栖息于树木和灌丛之上;;鸣唱为一连串蟋蟀般的清脆颤音，可在地面、栖木或空中发出；鸣叫则包括类似的颤音，以及哨音;
印度歌百灵,Indian Bush Lark,Plocealauda erythroptera,13.5-15厘米;,印度近特有
缅甸歌百灵,Burmese Bush Lark,Plocealauda microptera,具褐色斑点的百灵（13.5-15厘米）;;喙粗壮，尾短;;⚑腹部亮白色，胸部有清晰的深色条纹，还要留意与之形成对比的眉纹，在狭窄的分布重叠区域，这一特征可将其与颜色更褐、斑纹更淡的歌百灵区分;;见于有零星树木或灌木丛的开阔区域;;聆听雄鸟的哨声般鸣唱，歌声常从栖木上或低空飞行时发出；鸣叫包括高而细的“seep”声;,缅甸特有
白尾歌百灵,White-tailed Lark,Mirafra albicauda,13厘米;
南非歌百灵,Melodious Lark,Mirafra cheniana,12厘米;
金歌百灵,Kordofan Lark,Mirafra cordofanica,中型（14厘米）短胖的百灵鸟;;上体呈金黄褐色，新鲜羽毛时外观呈鳞状纹理；眉纹短而模糊，未延伸至眼后；喙呈双色，下部颜色较浅，上颌的尖端与羽脊为深色;;下体羽色浅淡，胸部有模糊的黄褐色斑纹;;⚑尾羽呈三色，主体偏黑，中央羽毛为金红褐色，外侧羽毛为白色，飞行时十分显眼;;⚑极似图氏沙百灵，但后者羽色更浅、胸部无斑纹，且喙为均匀的粉角质色;;活动模式尚不明确，但观察发现，小群个体在覆盖有草本植物、土壤呈红褐色的多灌木半沙漠地带活动，属于部分迁徙性鸟类，且有漂泊习性;;叫声也缺乏深入研究，但一份录音显示，它的叫声多样，包括哨音、颤音与短促鸣叫，还会模仿其他声音，同时伴有空中炫耀行为;,尼日尔特有
歌百灵,Singing Bush Lark,Mirafra javanica,中型（13.5-15厘米）具棕色条纹的百灵;;⚑喙较厚且整体较小，比云雀和小云雀更呈斑驳的深色;;⚑存在相当大的地理差异（如图）：整体颜色可以从深灰褐色到丰富的棕褐色再到浅沙色变化，胸部纹路的数量和清晰度也有所不同;;⚑似印度歌百灵，但最外侧尾羽为白色，整体显得更加沉闷，外观更为粗壮;;⚑与云雀的区别在两翼棕色;;喜开阔的矮草地及稻田；长于地面行走或振翅做波状飞行;;极善鸣叫，边飞边鸣，鸣声清脆婉转;
雀歌百灵,Monotonous Lark,Mirafra passerina,14厘米;
暗色歌百灵,Friedmann's Lark,Mirafra pulpa,13-14厘米;,肯尼亚近特有
威氏歌百灵,Williams's Lark,Mirafra williamsi,14厘米;,肯尼亚特有
安哥拉歌百灵,Angola Lark,Amirafra angolensis,16-17厘米;
领歌百灵,Collared Lark,Amirafra collaris,13-15厘米;
垂耳歌百灵,Flappet Lark,Amirafra rufocinnamomea,中型（14-15厘米）矮胖的百灵;;具小喙、有斑点的头和背，翼羽边缘呈鳞状，使其看起来有鳞背的外观;;⚑羽色在地理上有所变化（如图），上体呈红褐色至深褐色，下体呈淡黄褐色;;⚑飞行时和栖息时可见红褐色的翼斑;;喜在草原和开阔的林地中捕食昆虫，通过在草丛和灌丛之间悄悄奔跑来觅食;;雄鸟具独特的炫耀飞行：会机械地扇翅，上升到50-100米的空中，缓慢地盘旋在自己的领地上，发出一系列短暂的（一秒钟）“prrrrrt，prrrrt，prrrt……”的翅拍声，并可能伴随简单的金丝雀般的鸣唱“cheeroo-weee”;
棕颈歌百灵,Rufous-naped Lark,Corypha africana,大型（16-20厘米）强健的红褐色百灵;;具短冠、粗壮的喙;;⚑飞行时可见显眼的红褐色翼斑;;⚑存在很大的地理差异（如图）;;⚑似红翅歌百灵，但后者尾更长，颈侧有黑斑;;偶尔会垂下翅膀，小幅拍动，并跳跃一小段距离，展示出与其他一些百灵共有的红褐色翅;;在开阔的草地、草原、林地和耕地中繁殖;;发出由3-5个音符组成的悦耳而简单的鸣唱，如“treee-leee-treeloo”;
振翅歌百灵,Cape Clapper Lark,Corypha apiata,12-14厘米;,南非特有
阿西歌百灵,Sentinel Lark,Corypha athi,大型（16-20厘米）;
东振翅歌百灵,Eastern Clapper Lark,Corypha fasciolata,中型（13-15厘米）矮胖的百灵;;具小嘴，头和上体的羽毛具横纹和鳞状，使其看起来有鳞片的外观;;⚑羽色在存在地理差异：南非的亚种（下图）颜色更亮且呈红褐色，而北方亚种（上图）颜色较暗，呈灰色;;⚑似振翅歌百灵，但后者体型较小，颜色较淡，身体和翅上的红褐色较少，且炫耀飞行时翅拍更快;;成对在草地中觅食昆虫，常常在岩石区域活动；繁殖季节，雄鸟会停在小石头或低矮的灌木上，然后在3-5米的空中展示稳定的翅拍，并发出单一的哨音：“phoooee”，以展翅的方式降落到地面上;
红翅歌百灵,Red-winged Lark,Corypha hypermetra,大型（21-23厘米）百灵;;喙长而有力，尾也长;;背部呈鳞状外观，下体色淡，胸部侧面有一黑色斑块;;⚑飞行时翅呈现红褐色;;⚑最似棕颈歌百灵，但分布范围几乎不重叠，且体型更大，胸部侧面有黑色斑块;;仅见于局部干旱开阔的热带稀树草原地区;;鸣唱多变却又重复，由哨音和对其他物种叫声的模仿组成，通常在灌木顶端鸣唱，有时也在飞行中发出;
淡色歌百灵,Plains Lark,Corypha kabalii,大型（16-20厘米）且壮硕的锈色百灵;;具短羽冠、厚实的喙;;⚑其外观因地域而异，包括：背部红褐色、下体纯色且呈浅黄色（上图）；及背部灰色、淡色胸部具纵纹（下图）等;;⚑飞行时可见明显的红褐色翼斑;;⚑可通过较大的体型和粗壮的喙，与分布区内其他百灵区分;;成对栖息于开阔草原、长草的稀树草原、林地及农耕区;;鸣唱是2-3个哨音的简单组合，不断重复;
基多普歌百灵,Kidepo Lark,Corypha kidepoensis,21-23厘米;,乌干达特有
苏丹歌百灵,Highland Lark,Corypha kurrae,大型（16-20厘米）结实的锈色百灵;;具有短羽冠、厚实的喙;;⚑似太阳凤头百灵，但体型更大且喙更大;;⚑飞行时显眼的赤褐色翅斑格外突出;;⚑存在地理差异，从背部的黑色、下方的浅褐色（小图）到整体丰富的赤褐色色调;;成对在开放生境觅食，包括草地、草原、林地和耕地;;鸣唱简单而甜美，由2-5个哨音符组成;
暗灰歌百灵,Plateau Lark,Corypha nigrescens,大型（16-20厘米）;
夏氏歌百灵,Russet Lark,Corypha sharpii,体格健壮（17厘米）的锈色百灵;;⚑具短羽冠与粗壮的喙，翅上有醒目的红褐色翼斑，飞行时该翼斑尤为明显;;⚑似红翅歌百灵，但分布区无重叠，且后者体型更大、身体较松散，尾羽更长，颈侧有近黑色斑块;;⚑似索马里歌百灵，但后者喙更长;;⚑似棕短趾百灵，但后者体型更小，羽色呈偏冷的褐色；;;⚑似吉氏歌百灵，但后者体型更纤细，面部斑纹更复杂且对比更鲜明;;栖息于干旱稀树草原中的开阔草地斑块;;鸣唱时最为显眼，会栖于高处，发出甜美而简洁的 3 音节鸣声：“tree-trow-tleeeee”，其中间音节音调最低，最后一个音节持续时间最长;,索马里特有
索马里歌百灵,Somali Lark,Corypha somalica,身形修长的百灵（19-22厘米）;;拥有尖锐笔直、匕首状的喙，腿长，具浅色眉纹，尾长且色深，外侧尾羽白色形成鲜明对比;;上体呈赤褐色，羽缘为白色，使其外观具鳞状斑纹；下体白色，胸部有赤褐色纵纹;;⚑似夏氏歌百灵，但喙更粗壮，尾较短，上体赤褐色更浓郁，外侧尾羽为浅黄色（非白色）;;⚑小戴胜百灵羽色平淡且浅;;为索马里特有种，见于开阔草原和疏林地区，常出现在红色沙地，成对活动，多奔走，飞行距离短;;鸣唱尚无描述;,索马里特有
林百灵,Woodlark,Lullula arborea,具有明亮颜色的中型（15厘米）百灵;;棕色且有条纹，具短而浓密的冠羽;;⚑翅上弯曲处的黑白斑纹具特征性，但难以看清;;⚑飞行时，翼下有明显白色带;;⚑似云雀，但体型较小，尾短，翼上具明显的黑白条纹，尾端具白色角，但缺少云雀白色的外侧尾羽和翅后缘;;栖息在沙质荒地、旧农田和混合针叶林的空地中;;不起眼、相当隐蔽且易被忽略，通常在从地面惊起时才被发现;;鸣唱甜美，是一连串加速的流畅音符；鸣叫短而悦耳，如“tu’lee”或“tu’li’lee”;
粉嘴沙百灵,Pink-billed Lark,Spizocorys conirostris,小巧（12-13厘米）百灵;;具明显标志的脸部和小巧的粉红色锥形喙;;⚑羽色在分布范围内有所变化：从东南部的黄褐色（下图）到西北部的乳灰色（上图）不等;;⚑极似博氏沙百灵，但胁腹为纯色而无条纹，后者则在胁腹部有模糊的条纹;;成对或成小群栖息于湿润的东部草地中，并在卡鲁和卡拉哈里沙漠的草地区域觅食;;鸣叫包括简单而重复的尖叫声，“trrrt-trrt-trrt-trrt”;
短尾百灵,Short-tailed Lark,Spizocorys fremantlii,具大嘴和短尾的独特百灵（14-15厘米）;;⚑注意眼下方的黑色“泪痕”标记;;⚑羽色存在地理差异：在分布范围的北部（下图）呈沙褐色，而在南部（上图）为深褐色;;⚑似短嘴凤头百灵，但喙更大，尾更短，且没有冠羽;;栖息在热带草原生境的干燥矮草地，一般成小群出现;;鸣唱包括短而间隔的模糊哨音序列；典型的鸣叫是一种鼻音哨声;
博氏沙百灵,Botha's Lark,Spizocorys fringillaris,小巧紧凑（13-14厘米）的百灵;;面部斑纹醒目，具小巧的橙粉色圆锥形喙;;上体呈灰褐色，下体羽色浅淡；胸部具条纹，泛着黄棕色调，胁部则有一些模糊的条纹;;⚑极似粉嘴沙百灵：但胁部有模糊条纹，而后则胁部则无条纹、呈纯色;;成对或小群活动，仅栖息于黏土土壤区的高地短草草原，偏好过度放牧的区域或裸露的践踏地，避开高草区和多石区域;;鸣叫独特且简单，为“chir-ree”声，无论是在地面活动还是飞行时都会发出，这往往是定位该鸟的最佳方式;,南非特有
奥氏沙百灵,Obbia Lark,Spizocorys obbiensis,体型小而紧凑（12厘米）百灵;;喙部粗壮且显得肿胀，面部斑纹醒目：具浅色眉纹与眼圈，以及深色髭纹。上体呈深色，下体羽色浅淡但布满斑纹;;⚑与分布区内的其他百灵鸟不同，腿较短，因此常呈驼背姿态;;仅见于摩加迪沙南部狭窄海岸带，偏好栖息于沙丘及生长有盐生灌木的海岸灌丛中;;飞行鸣叫声为“tip-tip”；其他类型的叫声尚未有记录;,索马里特有
花脸沙百灵,Masked Lark,Spizocorys personata,15厘米;
斯克氏沙百灵,Sclater's Lark,Spizocorys sclateri,13-14厘米;,南非近特有
斯氏沙百灵,Stark's Lark,Spizocorys starki,中小型（13-14厘米）体色暗淡、身形紧凑的百灵;;喙色浅且粗壮，看起来略显肿胀，具条纹状羽冠，常竖起;;上体呈沙褐色，有不明显的深色条纹，面部无斑纹但有清晰眉纹，胸部在白色下体上呈现出十分模糊的条纹;;具有很强的游荡习性；雨后可能出现小到极大规模的群体，有时会与雀百灵或鹀混群，偏好平原上干旱的草原以及砾石地，而非沙地;;白天炎热时，常停歇在阴凉处，竖起羽冠、张开嘴、半闭双眼并下垂翅膀以辅助散热;;会在空中展示，伴有颤音、哨声和啁啾声;
云雀,Eurasian Skylark,Alauda arvensis,中型（17.5-19厘米）百灵;;注意布满褐色条纹的羽毛，独特的浓密羽冠和宽而模糊的白色眼圈;;⚑体态比鹨更矮胖，且不会似后者时常上下摆动尾羽;;⚑喙比小云雀要细小，初级飞羽突出较长；飞行时，显现白色的外侧尾羽和翅后缘的狭窄白边;;栖于开阔的郊区，特别是草地、荒地、农田、机场等；像大多数云雀属鸟种一样，在地面上活动时难以发现，最常通过叫声识别;
小云雀,Oriental Skylark,Alauda gulgula,中型（15.5-18厘米）褐色斑驳而似鹨的百灵;;具不明显的羽冠，上体羽色比下体更深，胸部有黑色细条纹，具浅栗红色的耳羽;;⚑极似云雀，但缺少后者亮白色的尾羽边缘和飞羽后缘，喙较粗长，且初级飞羽突出较短;;繁殖期雄鸟会在飞行中鸣唱，悬停于空中并发出一连串多变的叫声，为云雀属鸟种的典型求偶行为;
白翅云雀,White-winged Lark,Alauda leucoptera,漂亮的中型（17-19厘米）百灵;;⚑带有闪烁的白色翼斑;;⚑注意带有条纹的灰褐色背部、白色下体和暖棕红色的肩部;;雄鸟有鲜明的红色冠和耳羽;;在繁殖季节之外，通常以大群的形式觅食；喜广阔的干燥草原和田野；偶尔也见于农业区;;金属感的鸣唱似云雀，发出滚动的“chy/vae-chy/vae-chy/vae”的叫声，韵律平稳;
拉索云雀,Raso Lark,Alauda razae,佛得角的拉索岛上特有的云雀（12-13厘米）;;整体呈灰褐色，具中等密度的条纹;;⚑注意其大而厚重的喙;;有时会竖起冠羽;;⚑似云雀，但体型较小，翅和尾较短;;多见于平原上的干涸河床附近;;鸣唱似凤头百灵，鸣叫为短促的连续声：“Chureep”;,佛得角特有
凤头百灵,Crested Lark,Galerida cristata,中型（17-19厘米）具明显的冠羽的百灵;;具长且尖的羽冠;;⚑羽色有明显的个体差异（如图），与分布地的土壤颜色相配;;⚑翼下覆羽沾锈褐色调，飞行时较为明显;;⚑似分布较窄的短嘴凤头百灵，但喙较长、下嘴峰直，冠羽通常更长、更尖;;⚑似云雀，但侧影显大而羽冠尖，嘴较长且弯，耳羽较少棕色且无白色的后翼缘;;主要分布在植被稀疏的干旱地区，尤其是农田和路旁;;常发出哀怨的“ch'wee”声;
塞氏凤头百灵,Sykes's Lark,Galerida deva,14厘米;,印度特有
长嘴凤头百灵,Large-billed Lark,Galerida magnirostris,18厘米;,南非近特有
马拉巴凤头百灵,Malabar Lark,Galerida malabarica,16厘米;,印度特有
太阳凤头百灵,Sun Lark,Galerida modesta,14-15厘米;
短嘴凤头百灵,Thekla's Lark,Galerida theklae,中型（15-17厘米）百灵;;⚑极似凤头百灵极为相似，且常一同出现，最主要的区分依据是喙的形状，其喙更短更粗，下喙呈凸形；冠羽也更短且更呈扇形；腰部颜色对比更强烈，略带锈色；胸部纵纹比凤头百灵更浓重且更鲜明;;分布于伊比利亚半岛、北非和东非有零星灌木丛的石质和沙质地区，比凤头百灵更常停歇在灌木丛上;;鸣唱是由啁啾声、颤音、鸣啭和连音组成的悦耳混合音;
角百灵,Horned Lark,Eremophila alpestris,中型（16-20厘米）深色百灵;;⚑头部图纹别致，飞行时翼下白色;;⚑雄鸟具粗显的黑色胸带，脸具黑和白色或黄色（右图）图纹，顶冠前端黑色条纹后延成特征性小"角";;⚑雌鸟（中图）及幼鸟色暗，且无“角”，但头部图纹仍可见;;常奔跑于开阔地带的地面，尤其是植被稀少的土地；与大多数鸣禽不同，栖于沙地、泥地和砾石滩;
漠角百灵,Temminck's Lark,Eremophila bilopha,美丽优雅的沙漠百灵（13-15厘米）;;头部图案醒目，有黑色的“佐罗式面具”、黑色喉部以及窄窄的黑色“角”状耳羽簇;;整体呈浅沙色，但要注意雄鸟头部图案比雌鸟更鲜明;;⚑飞行时，其长长的尾呈显眼的黑色;;栖息于沙质或石质的沙漠平原及低山地区，在灌木丛下的地面繁殖;;雄鸟在炫耀飞行时常发出悦耳的高音哨声：“Tsu tsi tsu-tsu，tsu-tsu”;
细嘴短趾百灵,Hume's Short-toed Lark,Calandrella acutirostris,小型（13-14厘米）浅褐色百灵;;上体呈沙色，下体呈白色，有明显的白色眉纹和细长的喙;;⚑极似大短趾百灵和亚洲短趾百灵；注意更朴素且相对无条纹的头顶，对比更鲜明的白色眉纹和更修长的喙，以及干净、无标记的胸;;⚑干净的下体、没有明显的冠羽和体型有助于将其与其他百灵区分;;繁殖于高海拔草原、高原等植被稀少的干旱地区；在较低海拔的相似生境过冬;
布氏短趾百灵,Blanford's Lark,Calandrella blanfordi,小型（13-14厘米）长尾的百灵;;具红色的冠;;⚑存在分布差异：高地型（上图）羽色较暗，颜色较丰富，低地型（上图）羽色较淡，但两者均有红色或棕红色的冠，通常胸胁有一些黑色;;⚑通过红色的冠和颈侧的黑斑可将其与其他百灵区分;;栖息在山地草原、农田和半沙漠地区，常成群;;鸣唱由短促而多谈的短语组成，常重复的，通常在飞行中发出；鸣叫包括一个上升的哨声和一个快速的嘎嘎声;,埃塞尔比亚近特有
大短趾百灵,Greater Short-toed Lark,Calandrella brachydactyla,淡色的中型（14-15厘米）百灵;;⚑颈侧具有深色斑块，腹部大部分区域没有条纹;;⚑停歇时，三级飞羽几乎接近翅尖;;通常在开放地带的散布着低矮植被的区域、耕地或路边地面上觅食;
红顶短趾百灵,Red-capped Lark,Calandrella cinerea,中型（14-15厘米）身形纤细、似鹨的百灵;;尾羽长，喙较弱;;⚑总有一条醒目的白色眉纹，标志性的砖红色顶冠可像小羽冠一样竖起，胸部两侧呈红色;;不同规模的群体为留鸟或局部地区的游荡鸟，栖息于修剪过的草地、开阔田野、湿地边缘及其他开阔区域。在地面上极为隐蔽，成对或小群个体奔跑5-10米后会停顿一下，觅食种子和昆虫；也能看到它们在水坑饮水;;鸣叫包括半悦耳的啁啾声和短暂的嗡嗡声；鸣唱通常在类似鹨的长时间波浪式炫耀飞行中发出，由半悦耳的啁啾音符组成，常成串出现，还常融入对其他鸟类的仿声;
蒙古短趾百灵,Mongolian Short-toed Lark,Calandrella dukhunensis,喙粗壮且呈圆锥状的中型（14-15厘米）百灵;;体态长而水平，上体有明显的深色纵纹;;⚑极似大短趾百灵，但体型略大，羽色更暖，胸及上体有锈色调，且纵纹更粗、更深;;栖于开阔、干燥的草地生境;;叫声与大短趾百灵类似;
棕顶短趾百灵,Rufous-capped Lark,Calandrella eremica,12.5-13.5厘米;
双斑百灵,Bimaculated Lark,Melanocorypha bimaculata,中大型（17-18厘米）粗壮而尾短的百灵;;眼先具明显的深色长条纹;;⚑典型个体下体白色，但棕色型（上图）下体染棕色;;⚑尾部显短，翼较长，尾羽末端白色;;⚑似草原百灵，但飞行时翼下棕灰，无白色翼后缘，尾端白色明显；而后者在飞行时可见白色的翼后缘，且翼下较黑;;鸣唱飞行时，快速振翅、幅度轻微，尾羽展开，不悬停;
草原百灵,Calandra Lark,Melanocorypha calandra,结实的大型（18-20厘米）百灵;;眼先无条纹或具浅色短条纹且不明显;;尾部显长，外侧尾羽有白边;;⚑飞行时，翼下较黑，翼后缘白色，尾羽外侧白而尾端不白;;鸣唱飞行时，振翅较慢，尾羽不展开，可长时间悬停，会绕圈;
