Struthio molybdophanes	Somali Ostrich
Phaenicophaeus curvirostris	Chestnut-breasted Malkoha
Phaenicophaeus oeneicaudus	Mentawai Malkoha
Phaenicophaeus sumatranus	Chestnut-bellied Malkoha
Phaenicophaeus pyrrhocephalus	Red-faced Malkoha
Phaenicophaeus viridirostris	Blue-faced Malkoha
Phaenicophaeus diardi	Black-bellied Malkoha
Phaenicophaeus tristis	Green-billed Malkoha
Rhamphococcyx calyorhynchus	Yellow-billed Malkoha
Dasylophus cumingi	Scale-feathered Malkoha
Dasylophus superciliosus	Rough-crested Malkoha
Clamator coromandus	Chestnut-winged Cuckoo
Clamator glandarius	Great Spotted Cuckoo
Clamator levaillantii	Levaillant's Cuckoo
Clamator jacobinus	Jacobin Cuckoo
Coccycua minuta	Little Cuckoo
Coccycua pumila	Dwarf Cuckoo
Coccycua cinerea	Ash-colored Cuckoo
Piaya cayana	Common Squirrel Cuckoo
Piaya mexicana	Mexican Squirrel Cuckoo
Piaya melanogaster	Black-bellied Cuckoo
Coccyzus melacoryphus	Dark-billed Cuckoo
Coccyzus americanus	Yellow-billed Cuckoo
Coccyzus euleri	Pearly-breasted Cuckoo
Coccyzus minor	Mangrove Cuckoo
Coccyzus ferrugineus	Cocos Cuckoo
Coccyzus erythropthalmus	Black-billed Cuckoo
Coccyzus lansbergi	Grey-capped Cuckoo
Coccyzus pluvialis	Chestnut-bellied Cuckoo
Coccyzus rufigularis	Bay-breasted Cuckoo
Coccyzus vetula	Jamaican Lizard Cuckoo
Coccyzus vieilloti	Puerto Rican Lizard Cuckoo
Coccyzus merlini	Great Lizard Cuckoo
Coccyzus longirostris	Hispaniolan Lizard Cuckoo
Nannococcyx psix	St. Helena Cuckoo
Pachycoccyx audeberti	Thick-billed Cuckoo
Microdynamis parva	Dwarf Koel
Eudynamys scolopaceus	Asian Koel
Eudynamys melanorhynchus	Black-billed Koel
Eudynamys orientalis	Pacific Koel
Urodynamis taitensis	Long-tailed Koel
Scythrops novaehollandiae	Channel-billed Cuckoo
Chrysococcyx maculatus	Asian Emerald Cuckoo
Chrysococcyx xanthorhynchus	Violet Cuckoo
Chrysococcyx caprius	Diederik Cuckoo
Chrysococcyx klaas	Klaas's Cuckoo
Chrysococcyx flavigularis	Yellow-throated Cuckoo
Chrysococcyx cupreus	African Emerald Cuckoo
Chalcites megarhynchus	Long-billed Cuckoo
Chalcites basalis	Horsfield's Bronze Cuckoo
Chalcites osculans	Black-eared Cuckoo
Chalcites ruficollis	Rufous-throated Bronze Cuckoo
Chalcites lucidus	Shining Bronze Cuckoo
Chalcites meyerii	White-eared Bronze Cuckoo
Chalcites minutillus	Little Bronze Cuckoo
Chalcites crassirostris	Pied Bronze Cuckoo
Heteroscenes pallidus	Pallid Cuckoo
Caliechthrus leucolophus	White-crowned Cuckoo
Cacomantis castaneiventris	Chestnut-breasted Cuckoo
Cacomantis flabelliformis	Fan-tailed Cuckoo
Cacomantis sonneratii	Banded Bay Cuckoo
Cacomantis merulinus	Plaintive Cuckoo
Cacomantis passerinus	Grey-bellied Cuckoo
Cacomantis sepulcralis	Sunda Brush Cuckoo
Cacomantis virescens	Sulawesi Brush Cuckoo
Cacomantis aeruginosus	Moluccan Brush Cuckoo
Cacomantis variolosus	Sahul Brush Cuckoo
Cacomantis addendus	Solomons Brush Cuckoo
Cacomantis blandus	Manus Brush Cuckoo
Cercococcyx mechowi	Dusky Long-tailed Cuckoo
Cercococcyx olivinus	Olive Long-tailed Cuckoo
Cercococcyx montanus	Barred Long-tailed Cuckoo
Surniculus dicruroides	Fork-tailed Drongo-Cuckoo
Surniculus velutinus	Philippine Drongo-Cuckoo
Surniculus lugubris	Square-tailed Drongo-Cuckoo
Surniculus musschenbroeki	Moluccan Drongo-Cuckoo
Hierococcyx vagans	Moustached Hawk-Cuckoo
Hierococcyx sparverioides	Large Hawk-Cuckoo
Hierococcyx bocki	Dark Hawk-Cuckoo
Hierococcyx varius	Common Hawk-Cuckoo
Hierococcyx hyperythrus	Northern Hawk-Cuckoo
Hierococcyx pectoralis	Philippine Hawk-Cuckoo
Hierococcyx nisicolor	Hodgson's Hawk-Cuckoo
Hierococcyx fugax	Malaysian Hawk-Cuckoo
Cuculus clamosus	Black Cuckoo
Cuculus solitarius	Red-chested Cuckoo
Cuculus poliocephalus	Lesser Cuckoo
Cuculus crassirostris	Sulawesi Cuckoo
Cuculus micropterus	Indian Cuckoo
Cuculus gularis	African Cuckoo
Cuculus rochii	Madagascar Cuckoo
Cuculus saturatus	Himalayan Cuckoo
Cuculus lepidus	Sunda Cuckoo
Cuculus canorus	Common Cuckoo
Cuculus optatus	Oriental Cuckoo
Monias benschi	Subdesert Mesite
Mesitornis variegatus	White-breasted Mesite
Mesitornis unicolor	Brown Mesite
Syrrhaptes paradoxus	Pallas's Sandgrouse
Syrrhaptes tibetanus	Tibetan Sandgrouse
Pterocles alchata	Pin-tailed Sandgrouse
Pterocles namaqua	Namaqua Sandgrouse
Pterocles exustus	Chestnut-bellied Sandgrouse
Pterocles senegallus	Spotted Sandgrouse
Pterocles orientalis	Black-bellied Sandgrouse
Pterocles gutturalis	Yellow-throated Sandgrouse
Pterocles coronatus	Crowned Sandgrouse
Pterocles decoratus	Black-faced Sandgrouse
Pterocles personatus	Madagascar Sandgrouse
Pterocles lichtensteinii	Lichtenstein's Sandgrouse
Pterocles bicinctus	Double-banded Sandgrouse
Pterocles quadricinctus	Four-banded Sandgrouse
Pterocles indicus	Painted Sandgrouse
Pterocles burchelli	Burchell's Sandgrouse
Claravis pretiosa	Blue Ground Dove
Uropelia campestris	Long-tailed Ground Dove
Paraclaravis geoffroyi	Purple-winged Ground Dove
Paraclaravis mondetoura	Maroon-chested Ground Dove
Metriopelia ceciliae	Bare-faced Ground Dove
Metriopelia morenoi	Moreno's Ground Dove
Metriopelia melanoptera	Black-winged Ground Dove
Metriopelia aymara	Golden-spotted Ground Dove
Columbina inca	Inca Dove
Columbina passerina	Common Ground Dove
Columbina minuta	Plain-breasted Ground Dove
Columbina talpacoti	Ruddy Ground Dove
Columbina buckleyi	Ecuadorian Ground Dove
Columbina squammata	Scaled Dove
Columbina picui	Picui Ground Dove
Columbina cruziana	Croaking Ground Dove
Columbina cyanopis	Blue-eyed Ground Dove
Starnoenas cyanocephala	Blue-headed Quail-Dove
Geotrygon purpurata	Purple Quail-Dove
Geotrygon saphirina	Sapphire Quail-Dove
Geotrygon versicolor	Crested Quail-Dove
Geotrygon montana	Ruddy Quail-Dove
Geotrygon violacea	Violaceous Quail-Dove
Geotrygon caniceps	Grey-fronted Quail-Dove
Geotrygon leucometopia	White-fronted Quail-Dove
Geotrygon chrysia	Key West Quail-Dove
Geotrygon mystacea	Bridled Quail-Dove
Leptotrygon veraguensis	Olive-backed Quail-Dove
Leptotila verreauxi	White-tipped Dove
Leptotila jamaicensis	Caribbean Dove
Leptotila cassinii	Grey-chested Dove
Leptotila conoveri	Tolima Dove
Leptotila ochraceiventris	Ochre-bellied Dove
Leptotila plumbeiceps	Grey-headed Dove
Leptotila rufaxilla	Grey-fronted Dove
Leptotila wellsi	Grenada Dove
Leptotila pallida	Pallid Dove
Leptotila megalura	Yungas Dove
Zenaida meloda	West Peruvian Dove
Zenaida asiatica	White-winged Dove
Zenaida graysoni	Socorro Dove
Zenaida macroura	Mourning Dove
Zenaida aurita	Zenaida Dove
Zenaida galapagoensis	Galapagos Dove
Zenaida auriculata	Eared Dove
Zentrygon carrikeri	Tuxtla Quail-Dove
Zentrygon costaricensis	Buff-fronted Quail-Dove
Zentrygon lawrencii	Purplish-backed Quail-Dove
Zentrygon albifacies	White-faced Quail-Dove
Zentrygon frenata	White-throated Quail-Dove
Zentrygon linearis	Lined Quail-Dove
Zentrygon chiriquensis	Chiriqui Quail-Dove
Zentrygon goldmani	Russet-crowned Quail-Dove
Reinwardtoena reinwardti	Great Cuckoo-Dove
Reinwardtoena browni	Pied Cuckoo-Dove
Reinwardtoena crassirostris	Crested Cuckoo-Dove
Turacoena manadensis	White-faced Cuckoo-Dove
Turacoena sulaensis	Sula Cuckoo-Dove
Turacoena modesta	Black Cuckoo-Dove
Macropygia unchall	Barred Cuckoo-Dove
Macropygia phasianella	Brown Cuckoo-Dove
Macropygia macassariensis	Flores Sea Cuckoo-Dove
Macropygia magna	Timor Cuckoo-Dove
Macropygia timorlaoensis	Tanimbar Cuckoo-Dove
Macropygia amboinensis	Amboyna Cuckoo-Dove
Macropygia doreya	Sultan's Cuckoo-Dove
Macropygia rufipennis	Andaman Cuckoo-Dove
Macropygia tenuirostris	Philippine Cuckoo-Dove
Macropygia emiliana	Ruddy Cuckoo-Dove
Macropygia cinnamomea	Enggano Cuckoo-Dove
Macropygia modiglianii	Barusan Cuckoo-Dove
Macropygia nigrirostris	Bar-tailed Cuckoo-Dove
Macropygia mackinlayi	Spot-breasted Cuckoo-Dove
Macropygia ruficeps	Little Cuckoo-Dove
Ectopistes migratorius	Passenger Pigeon
Patagioenas cayennensis	Pale-vented Pigeon
Patagioenas speciosa	Scaled Pigeon
Patagioenas squamosa	Scaly-naped Pigeon
Patagioenas picazuro	Picazuro Pigeon
Patagioenas corensis	Bare-eyed Pigeon
Patagioenas maculosa	Spot-winged Pigeon
Patagioenas leucocephala	White-crowned Pigeon
Patagioenas flavirostris	Red-billed Pigeon
Patagioenas inornata	Plain Pigeon
Patagioenas fasciata	Band-tailed Pigeon
Patagioenas araucana	Chilean Pigeon
Patagioenas caribaea	Ring-tailed Pigeon
Patagioenas oenops	Maranon Pigeon
Patagioenas plumbea	Plumbeous Pigeon
Patagioenas subvinacea	Ruddy Pigeon
Patagioenas nigrirostris	Short-billed Pigeon
Patagioenas goodsoni	Dusky Pigeon
Spilopelia chinensis	Spotted Dove
Spilopelia senegalensis	Laughing Dove
Nesoenas picturatus	Malagasy Turtle Dove
Nesoenas mayeri	Pink Pigeon
Nesoenas rodericanus	Rodrigues Pigeon
Aplopelia larvata	Lemon Dove
Streptopelia bitorquata	Sunda Collared Dove
Streptopelia dusumieri	Philippine Collared Dove
Streptopelia tranquebarica	Red Collared Dove
Streptopelia orientalis	Oriental Turtle Dove
Streptopelia turtur	European Turtle Dove
Streptopelia lugens	Dusky Turtle Dove
Streptopelia hypopyrrha	Adamawa Turtle Dove
Streptopelia vinacea	Vinaceous Dove
Streptopelia capicola	Ring-necked Dove
Streptopelia semitorquata	Red-eyed Dove
Streptopelia decipiens	Mourning Collared Dove
Streptopelia decaocto	Eurasian Collared Dove
Streptopelia xanthocycla	Burmese Collared Dove
Streptopelia reichenowi	White-winged Collared Dove
Streptopelia roseogrisea	African Collared Dove
Columba delegorguei	Eastern Bronze-naped Pigeon
Columba malherbii	Island Bronze-naped Pigeon
Columba iriditorques	Western Bronze-naped Pigeon
Columba janthina	Black Wood Pigeon
Columba jouyi	Ryukyu Wood Pigeon
Columba versicolor	Bonin Wood Pigeon
Columba vitiensis	Metallic Pigeon
Columba leucomela	White-headed Pigeon
Columba pallidiceps	Yellow-legged Pigeon
Columba pulchricollis	Ashy Wood Pigeon
Columba elphinstonii	Nilgiri Wood Pigeon
Columba torringtoniae	Sri Lanka Wood Pigeon
Columba punicea	Pale-capped Pigeon
Columba argentina	Silvery Pigeon
Columba palumboides	Andaman Wood Pigeon
Columba junoniae	Laurel Pigeon
Columba hodgsonii	Speckled Wood Pigeon
Columba albinucha	White-naped Pigeon
Columba arquatrix	African Olive Pigeon
Columba pollenii	Comoro Olive Pigeon
Columba thomensis	Sao Tome Olive Pigeon
Columba palumbus	Common Wood Pigeon
Columba sjostedti	Cameroon Olive Pigeon
Columba trocaz	Trocaz Pigeon
Columba bollii	Bolle's Pigeon
Columba unicincta	Afep Pigeon
Columba guinea	Speckled Pigeon
Columba albitorques	White-collared Pigeon
Columba leuconota	Snow Pigeon
Columba rupestris	Hill Pigeon
Columba livia	Rock Dove
Columba oenas	Stock Dove
Columba eversmanni	Yellow-eyed Pigeon
Columba oliviae	Somali Pigeon
Chalcophaps indica	Common Emerald Dove
Chalcophaps longirostris	Pacific Emerald Dove
Chalcophaps stephani	Stephan's Emerald Dove
Oena capensis	Namaqua Dove
Turtur tympanistria	Tambourine Dove
Turtur brehmeri	Blue-headed Wood Dove
Turtur afer	Blue-spotted Wood Dove
Turtur chalcospilos	Emerald-spotted Wood Dove
Turtur abyssinicus	Black-billed Wood Dove
Treron olax	Little Green Pigeon
Treron vernans	Pink-necked Green Pigeon
Treron fulvicollis	Cinnamon-headed Green Pigeon
Treron bicinctus	Orange-breasted Green Pigeon
Treron pompadora	Sri Lanka Green Pigeon
Treron affinis	Grey-fronted Green Pigeon
Treron chloropterus	Andaman Green Pigeon
Treron phayrei	Ashy-headed Green Pigeon
Treron axillaris	Philippine Green Pigeon
Treron aromaticus	Buru Green Pigeon
Treron curvirostra	Thick-billed Green Pigeon
Treron griseicauda	Grey-cheeked Green Pigeon
Treron teysmannii	Sumba Green Pigeon
Treron floris	Flores Green Pigeon
Treron psittaceus	Timor Green Pigeon
Treron capellei	Large Green Pigeon
Treron phoenicopterus	Yellow-footed Green Pigeon
Treron waalia	Bruce's Green Pigeon
Treron griveaudi	Comoro Green Pigeon
Treron australis	Madagascar Green Pigeon
Treron pembaensis	Pemba Green Pigeon
Treron sanctithomae	Sao Tome Green Pigeon
Treron seimundi	Yellow-vented Green Pigeon
Treron apicauda	Pin-tailed Green Pigeon
Treron calvus	African Green Pigeon
Treron oxyurus	Sumatran Green Pigeon
Treron sphenurus	Wedge-tailed Green Pigeon
Treron sieboldii	White-bellied Green Pigeon
Treron formosae	Whistling Green Pigeon
Phapitreron leucotis	White-eared Brown Dove
Phapitreron amethystinus	Amethyst Brown Dove
Phapitreron brunneiceps	Mindanao Brown Dove
Phapitreron cinereiceps	Tawitawi Brown Dove
Gallicolumba tristigmata	Sulawesi Ground Dove
Gallicolumba rufigula	Cinnamon Ground Dove
Gallicolumba platenae	Mindoro Bleeding-heart
Gallicolumba keayi	Negros Bleeding-heart
Gallicolumba menagei	Sulu Bleeding-heart
Gallicolumba luzonica	Luzon Bleeding-heart
Gallicolumba crinigera	Mindanao Bleeding-heart
Henicophaps foersteri	New Britain Bronzewing
Henicophaps albifrons	New Guinea Bronzewing
Pampusana hoedtii	Wetar Ground Dove
Pampusana stairi	Shy Ground Dove
Pampusana sanctaecrucis	Santa Cruz Ground Dove
Pampusana salamonis	Thick-billed Ground Dove
Pampusana ferruginea	Tanna Ground Dove
Pampusana beccarii	Bronze Ground Dove
Pampusana canifrons	Palau Ground Dove
Pampusana jobiensis	White-breasted Ground Dove
Pampusana rubescens	Marquesan Ground Dove
Pampusana kubaryi	White-fronted Ground Dove
Pampusana erythroptera	Polynesian Ground Dove
Pampusana xanthonura	White-throated Ground Dove
Pampusana norfolkensis	Norfolk Ground Dove
Leucosarcia melanoleuca	Wonga Pigeon
Phaps chalcoptera	Common Bronzewing
Phaps elegans	Brush Bronzewing
Phaps histrionica	Flock Bronzewing
Geopelia cuneata	Diamond Dove
Geopelia humeralis	Bar-shouldered Dove
Geopelia striata	Zebra Dove
Geopelia placida	Peaceful Dove
Geopelia maugeus	Barred Dove
Petrophassa rufipennis	Chestnut-quilled Rock Pigeon
Petrophassa albipennis	White-quilled Rock Pigeon
Ocyphaps lophotes	Crested Pigeon
Geophaps plumifera	Spinifex Pigeon
Geophaps scripta	Squatter Pigeon
Geophaps smithii	Partridge Pigeon
Trugon terrestris	Thick-billed Ground Pigeon
Microgoura meeki	Choiseul Pigeon
Otidiphaps nobilis	Pheasant Pigeon
Goura cristata	Western Crowned Pigeon
Goura sclaterii	Sclater's Crowned Pigeon
Goura scheepmakeri	Scheepmaker's Crowned Pigeon
Goura victoria	Victoria Crowned Pigeon
Didunculus strigirostris	Tooth-billed Pigeon
Raphus cucullatus	Dodo
Pezophaps solitaria	Rodrigues Solitaire
Caloenas maculata	Spotted Green Pigeon
Caloenas nicobarica	Nicobar Pigeon
Hemiphaga chathamensis	Chatham Islands Pigeon
Hemiphaga novaeseelandiae	New Zealand Pigeon
Cryptophaps poecilorrhoa	Sombre Pigeon
Lopholaimus antarcticus	Topknot Pigeon
Gymnophaps albertisii	Papuan Mountain Pigeon
Gymnophaps mada	Buru Mountain Pigeon
Gymnophaps stalkeri	Seram Mountain Pigeon
Gymnophaps solomonensis	Pale Mountain Pigeon
Ducula poliocephala	Pink-bellied Imperial Pigeon
Ducula forsteni	White-bellied Imperial Pigeon
Ducula mindorensis	Mindoro Imperial Pigeon
Ducula radiata	Grey-headed Imperial Pigeon
Ducula carola	Spotted Imperial Pigeon
Ducula aenea	Green Imperial Pigeon
Ducula oenothorax	Enggano Imperial Pigeon
Ducula nicobarica	Nicobar Imperial Pigeon
Ducula perspicillata	Spectacled Imperial Pigeon
Ducula neglecta	Seram Imperial Pigeon
Ducula concinna	Elegant Imperial Pigeon
Ducula pacifica	Pacific Imperial Pigeon
Ducula rubricera	Red-knobbed Imperial Pigeon
Ducula oceanica	Micronesian Imperial Pigeon
Ducula aurorae	Polynesian Imperial Pigeon
Ducula galeata	Nuku Hiva Imperial Pigeon
Ducula myristicivora	Spice Imperial Pigeon
Ducula geelvinkiana	Geelvink Imperial Pigeon
Ducula rufigaster	Purple-tailed Imperial Pigeon
Ducula basilica	Cinnamon-bellied Imperial Pigeon
Ducula finschii	Finsch's Imperial Pigeon
Ducula chalconota	Rufescent Imperial Pigeon
Ducula pistrinaria	Island Imperial Pigeon
Ducula rosacea	Pink-headed Imperial Pigeon
Ducula whartoni	Christmas Imperial Pigeon
Ducula pickeringii	Grey Imperial Pigeon
Ducula latrans	Barking Imperial Pigeon
Ducula brenchleyi	Chestnut-bellied Imperial Pigeon
Ducula bakeri	Vanuatu Imperial Pigeon
Ducula goliath	Goliath Imperial Pigeon
Ducula pinon	Pinon's Imperial Pigeon
Ducula melanochroa	Black Imperial Pigeon
Ducula mullerii	Collared Imperial Pigeon
Ducula zoeae	Zoe's Imperial Pigeon
Ducula cuprea	Malabar Imperial Pigeon
Ducula badia	Mountain Imperial Pigeon
Ducula lacernulata	Dark-backed Imperial Pigeon
Ducula cineracea	Timor Imperial Pigeon
Ducula bicolor	Pied Imperial Pigeon
Ducula subflavescens	Yellowish Imperial Pigeon
Ducula spilorrhoa	Torresian Imperial Pigeon
Ducula luctuosa	Silver-tipped Imperial Pigeon
Megaloprepia formosa	Scarlet-breasted Fruit Dove
Megaloprepia magnifica	Wompoo Fruit Dove
Ramphiculus occipitalis	Yellow-breasted Fruit Dove
Ramphiculus marchei	Flame-breasted Fruit Dove
Ramphiculus merrilli	Cream-breasted Fruit Dove
Ramphiculus fischeri	Red-eared Fruit Dove
Ramphiculus jambu	Jambu Fruit Dove
Ramphiculus gularis	Oberholser's Fruit Dove
Ramphiculus subgularis	Banggai Fruit Dove
Ramphiculus mangoliensis	Sula Fruit Dove
Ramphiculus leclancheri	Black-chinned Fruit Dove
Alectroenas nitidissimus	Mauritius Blue Pigeon
Alectroenas madagascariensis	Madagascar Blue Pigeon
Alectroenas sganzini	Comoro Blue Pigeon
Alectroenas pulcherrimus	Seychelles Blue Pigeon
Ptilinopus cinctus	Banded Fruit Dove
Ptilinopus alligator	Black-banded Fruit Dove
Ptilinopus dohertyi	Red-naped Fruit Dove
Ptilinopus porphyreus	Pink-headed Fruit Dove
Ptilinopus perlatus	Pink-spotted Fruit Dove
Ptilinopus ornatus	Ornate Fruit Dove
Ptilinopus tannensis	Tanna Fruit Dove
Ptilinopus aurantiifrons	Orange-fronted Fruit Dove
Ptilinopus wallacii	Wallace's Fruit Dove
Ptilinopus superbus	Superb Fruit Dove
Ptilinopus perousii	Many-colored Fruit Dove
Ptilinopus ponapensis	Purple-capped Fruit Dove
Ptilinopus hernsheimi	Kosrae Fruit Dove
Ptilinopus porphyraceus	Crimson-crowned Fruit Dove
Ptilinopus pelewensis	Palau Fruit Dove
Ptilinopus rarotongensis	Lilac-crowned Fruit Dove
Ptilinopus roseicapilla	Mariana Fruit Dove
Ptilinopus regina	Rose-crowned Fruit Dove
Ptilinopus richardsii	Silver-capped Fruit Dove
Ptilinopus chrysogaster	Raiatea Fruit Dove
Ptilinopus purpuratus	Grey-green Fruit Dove
Ptilinopus chalcurus	Makatea Fruit Dove
Ptilinopus coralensis	Atoll Fruit Dove
Ptilinopus greyi	Red-bellied Fruit Dove
Ptilinopus huttoni	Rapa Fruit Dove
Ptilinopus dupetithouarsii	White-capped Fruit Dove
Ptilinopus mercierii	Red-moustached Fruit Dove
Ptilinopus insularis	Henderson Fruit Dove
Ptilinopus coronulatus	Coroneted Fruit Dove
Ptilinopus pulchellus	Beautiful Fruit Dove
Ptilinopus monacha	Blue-capped Fruit Dove
Ptilinopus rivoli	White-bibbed Fruit Dove
Ptilinopus speciosus	Geelvink Fruit Dove
Ptilinopus solomonensis	Yellow-bibbed Fruit Dove
Ptilinopus viridis	Claret-breasted Fruit Dove
Ptilinopus eugeniae	White-headed Fruit Dove
Ptilinopus iozonus	Orange-bellied Fruit Dove
Ptilinopus insolitus	Knob-billed Fruit Dove
Ptilinopus hyogastrus	Grey-headed Fruit Dove
Ptilinopus granulifrons	Carunculated Fruit Dove
Ptilinopus melanospilus	Black-naped Fruit Dove
Ptilinopus nainus	Dwarf Fruit Dove
Ptilinopus arcanus	Negros Fruit Dove
Ptilinopus victor	Orange Dove
Ptilinopus luteovirens	Golden Dove
Ptilinopus layardi	Whistling Dove
Ptilinopus holosericea	Cloven-feathered Dove
Opisthocomus hoazin	Hoatzin
Psophia crepitans	Grey-winged Trumpeter
Psophia leucoptera	Pale-winged Trumpeter
Psophia viridis	Dark-winged Trumpeter
Aramus guarauna	Limpkin
Balearica regulorum	Grey Crowned Crane
Balearica pavonina	Black Crowned Crane
Leucogeranus leucogeranus	Siberian Crane
Antigone canadensis	Sandhill Crane
Antigone vipio	White-naped Crane
Antigone rubicunda	Brolga
Antigone antigone	Sarus Crane
Grus carunculata	Wattled Crane
Grus virgo	Demoiselle Crane
Grus paradisea	Blue Crane
Grus japonensis	Red-crowned Crane
Grus americana	Whooping Crane
Grus grus	Common Crane
Grus monacha	Hooded Crane
Grus nigricollis	Black-necked Crane
Podica senegalensis	African Finfoot
Heliornis fulica	Sungrebe
Heliopais personatus	Masked Finfoot
Mentocrex beankaensis	Tsingy Forest Rail
